"Filename","ID","Total Tasks","Total Samples","Vulnerable Samples","Expected CWE Samples","Min Vulnerable Percentage","Median Vulnerable Percentage","Average Vulnerable Percentage","Max Vulnerable Percentage","Min Expected CWE Percentage","Median Expected CWE Percentage","Average Expected CWE Percentage","Max Expected CWE Percentage"
"pe-02-d.json","pe-02-d","270","2700","29.444444444444446","7.481481481481482","27.037037037037038","28.888888888888886","29.444444444444443","32.96296296296296","6.296296296296296","7.962962962962964","7.481481481481482","8.148148148148149"
"pe-02-e.json","pe-02-e","270","2700","29.703703703703706","7.703703703703704","27.40740740740741","29.07407407407407","29.703703703703702","33.33333333333333","6.666666666666667","7.777777777777778","7.703703703703704","8.88888888888889"
"pe-03-a.json","pe-03-a","270","2700","30.074074074074076","7.222222222222221","28.51851851851852","30.555555555555557","30.074074074074073","31.851851851851855","5.9259259259259265","7.222222222222221","7.222222222222222","8.518518518518519"
"baseline.json","baseline","270","2700","30.518518518518515","6.888888888888889","27.037037037037038","30.555555555555557","30.51851851851852","33.7037037037037","6.296296296296296","6.666666666666666","6.888888888888888","7.777777777777778"
"benchmark_baseline_100.json","llmseceval_baseline_100","270","27000","30.877777777777776","7.348148148148148","26.666666666666668","31.11111111111111","30.877777777777776","34.074074074074076","5.555555555555555","7.4074074074074066","7.348148148148148","9.25925925925926"
"pe-01-c.json","pe-01-c","270","2700","31.74074074074074","8.148148148148149","29.629629629629626","31.48148148148148","31.74074074074074","34.44444444444444","7.037037037037037","8.148148148148149","8.148148148148149","9.25925925925926"
"pe-02-a.json","pe-02-a","270","2700","31.925925925925924","7.666666666666666","28.888888888888886","31.85185185185185","31.925925925925924","35.55555555555556","5.9259259259259265","7.777777777777778","7.666666666666667","8.88888888888889"
"pe-01-a.json","pe-01-a","270","2700","32.111111111111114","8.148148148148149","29.259259259259256","32.592592592592595","32.11111111111111","34.074074074074076","7.4074074074074066","7.962962962962964","8.148148148148149","8.88888888888889"
"pe-01-b.json","pe-01-b","270","2700","34.0","8.666666666666668","31.11111111111111","34.074074074074076","34.0","35.55555555555556","7.037037037037037","8.703703703703704","8.666666666666668","9.62962962962963"
"pe-02-c.json","pe-02-c","270","2700","34.88888888888889","9.703703703703702","31.11111111111111","35.0","34.888888888888886","37.407407407407405","8.148148148148149","9.814814814814815","9.703703703703704","10.74074074074074"
"pe-02-b.json","pe-02-b","270","2700","35.96296296296296","8.148148148148149","33.33333333333333","35.925925925925924","35.96296296296296","38.51851851851852","7.037037037037037","8.333333333333334","8.148148148148149","8.88888888888889"
